backbone.backbone.stem_0.conv.weight	(64, 3, 3, 3)
backbone.backbone.stem_0.norm.weight	(64,)
backbone.backbone.stem_0.norm.bias	(64,)
backbone.backbone.stem_0.norm.running_mean	(64,)
backbone.backbone.stem_0.norm.running_var	(64,)
backbone.backbone.stem_0.norm.num_batches_tracked	()
backbone.backbone.stem_1.conv.weight	(32, 64, 3, 3)
backbone.backbone.stem_1.norm.weight	(32,)
backbone.backbone.stem_1.norm.bias	(32,)
backbone.backbone.stem_1.norm.running_mean	(32,)
backbone.backbone.stem_1.norm.running_var	(32,)
backbone.backbone.stem_1.norm.num_batches_tracked	()
backbone.backbone.stem_2.conv.weight	(64, 32, 3, 3)
backbone.backbone.stem_2.norm.weight	(64,)
backbone.backbone.stem_2.norm.bias	(64,)
backbone.backbone.stem_2.norm.running_mean	(64,)
backbone.backbone.stem_2.norm.running_var	(64,)
backbone.backbone.stem_2.norm.num_batches_tracked	()
backbone.backbone.stem_3.conv.weight	(64, 64, 3, 3)
backbone.backbone.stem_3.norm.weight	(64,)
backbone.backbone.stem_3.norm.bias	(64,)
backbone.backbone.stem_3.norm.running_mean	(64,)
backbone.backbone.stem_3.norm.running_var	(64,)
backbone.backbone.stem_3.norm.num_batches_tracked	()
backbone.backbone.stages_0.blocks.0.patch_embed.conv.weight	(96, 64, 1, 1)
backbone.backbone.stages_0.blocks.0.patch_embed.norm.weight	(96,)
backbone.backbone.stages_0.blocks.0.patch_embed.norm.bias	(96,)
backbone.backbone.stages_0.blocks.0.patch_embed.norm.running_mean	(96,)
backbone.backbone.stages_0.blocks.0.patch_embed.norm.running_var	(96,)
backbone.backbone.stages_0.blocks.0.patch_embed.norm.num_batches_tracked	()
backbone.backbone.stages_0.blocks.0.mhca.group_conv3x3.weight	(96, 32, 3, 3)
backbone.backbone.stages_0.blocks.0.mhca.norm.weight	(96,)
backbone.backbone.stages_0.blocks.0.mhca.norm.bias	(96,)
backbone.backbone.stages_0.blocks.0.mhca.norm.running_mean	(96,)
backbone.backbone.stages_0.blocks.0.mhca.norm.running_var	(96,)
backbone.backbone.stages_0.blocks.0.mhca.norm.num_batches_tracked	()
backbone.backbone.stages_0.blocks.0.mhca.projection.weight	(96, 96, 1, 1)
backbone.backbone.stages_0.blocks.0.norm.weight	(96,)
backbone.backbone.stages_0.blocks.0.norm.bias	(96,)
backbone.backbone.stages_0.blocks.0.norm.running_mean	(96,)
backbone.backbone.stages_0.blocks.0.norm.running_var	(96,)
backbone.backbone.stages_0.blocks.0.norm.num_batches_tracked	()
