backbone.backbone.model.patch_embed.conv_down.0.weight	(64, 3, 3, 3)
backbone.backbone.model.patch_embed.conv_down.1.weight	(64,)
backbone.backbone.model.patch_embed.conv_down.1.bias	(64,)
backbone.backbone.model.patch_embed.conv_down.1.running_mean	(64,)
backbone.backbone.model.patch_embed.conv_down.1.running_var	(64,)
backbone.backbone.model.patch_embed.conv_down.1.num_batches_tracked	()
backbone.backbone.model.patch_embed.conv_down.3.weight	(128, 64, 3, 3)
backbone.backbone.model.patch_embed.conv_down.4.weight	(128,)
backbone.backbone.model.patch_embed.conv_down.4.bias	(128,)
backbone.backbone.model.patch_embed.conv_down.4.running_mean	(128,)
backbone.backbone.model.patch_embed.conv_down.4.running_var	(128,)
backbone.backbone.model.patch_embed.conv_down.4.num_batches_tracked	()
backbone.backbone.model.levels.0.blocks.0.conv1.weight	(128, 128, 3, 3)
backbone.backbone.model.levels.0.blocks.0.conv1.bias	(128,)
backbone.backbone.model.levels.0.blocks.0.norm1.weight	(128,)
backbone.backbone.model.levels.0.blocks.0.norm1.bias	(128,)
backbone.backbone.model.levels.0.blocks.0.norm1.running_mean	(128,)
backbone.backbone.model.levels.0.blocks.0.norm1.running_var	(128,)
backbone.backbone.model.levels.0.blocks.0.norm1.num_batches_tracked	()
backbone.backbone.model.levels.0.blocks.0.conv2.weight	(128, 128, 3, 3)
backbone.backbone.model.levels.0.blocks.0.conv2.bias	(128,)
backbone.backbone.model.levels.0.blocks.0.norm2.weight	(128,)
backbone.backbone.model.levels.0.blocks.0.norm2.bias	(128,)
backbone.backbone.model.levels.0.blocks.0.norm2.running_mean	(128,)
backbone.backbone.model.levels.0.blocks.0.norm2.running_var	(128,)
backbone.backbone.model.levels.0.blocks.0.norm2.num_batches_tracked	()
backbone.backbone.model.levels.0.blocks.1.conv1.weight	(128, 128, 3, 3)
backbone.backbone.model.levels.0.blocks.1.conv1.bias	(128,)
backbone.backbone.model.levels.0.blocks.1.norm1.weight	(128,)
backbone.backbone.model.levels.0.blocks.1.norm1.bias	(128,)
backbone.backbone.model.levels.0.blocks.1.norm1.running_mean	(128,)
backbone.backbone.model.levels.0.blocks.1.norm1.running_var	(128,)
backbone.backbone.model.levels.0.blocks.1.norm1.num_batches_tracked	()
backbone.backbone.model.levels.0.blocks.1.conv2.weight	(128, 128, 3, 3)
backbone.backbone.model.levels.0.blocks.1.conv2.bias	(128,)
backbone.backbone.model.levels.0.blocks.1.norm2.weight	(128,)
backbone.backbone.model.levels.0.blocks.1.norm2.bias	(128,)
backbone.backbone.model.levels.0.blocks.1.norm2.running_mean	(128,)
backbone.backbone.model.levels.0.blocks.1.norm2.running_var	(128,)
backbone.backbone.model.levels.0.blocks.1.norm2.num_batches_tracked	()
backbone.backbone.model.levels.0.blocks.2.conv1.weight	(128, 128, 3, 3)
backbone.backbone.model.levels.0.blocks.2.conv1.bias	(128,)
backbone.backbone.model.levels.0.blocks.2.norm1.weight	(128,)
backbone.backbone.model.levels.0.blocks.2.norm1.bias	(128,)
backbone.backbone.model.levels.0.blocks.2.norm1.running_mean	(128,)
backbone.backbone.model.levels.0.blocks.2.norm1.running_var	(128,)
backbone.backbone.model.levels.0.blocks.2.norm1.num_batches_tracked	()
backbone.backbone.model.levels.0.blocks.2.conv2.weight	(128, 128, 3, 3)
backbone.backbone.model.levels.0.blocks.2.conv2.bias	(128,)
backbone.backbone.model.levels.0.blocks.2.norm2.weight	(128,)
backbone.backbone.model.levels.0.blocks.2.norm2.bias	(128,)
backbone.backbone.model.levels.0.blocks.2.norm2.running_mean	(128,)
backbone.backbone.model.levels.0.blocks.2.norm2.running_var	(128,)
backbone.backbone.model.levels.0.blocks.2.norm2.num_batches_tracked	()
backbone.backbone.model.levels.0.downsample.reduction.0.weight	(256, 128, 3, 3)
backbone.backbone.model.levels.1.blocks.0.conv1.weight	(256, 256, 3, 3)
backbone.backbone.model.levels.1.blocks.0.conv1.bias	(256,)
backbone.backbone.model.levels.1.blocks.0.norm1.weight	(256,)
backbone.backbone.model.levels.1.blocks.0.norm1.bias	(256,)
backbone.backbone.model.levels.1.blocks.0.norm1.running_mean	(256,)
backbone.backbone.model.levels.1.blocks.0.norm1.running_var	(256,)
backbone.backbone.model.levels.1.blocks.0.norm1.num_batches_tracked	()
backbone.backbone.model.levels.1.blocks.0.conv2.weight	(256, 256, 3, 3)
backbone.backbone.model.levels.1.blocks.0.conv2.bias	(256,)
backbone.backbone.model.levels.1.blocks.0.norm2.weight	(256,)
backbone.backbone.model.levels.1.blocks.0.norm2.bias	(256,)
backbone.backbone.model.levels.1.blocks.0.norm2.running_mean	(256,)
backbone.backbone.model.levels.1.blocks.0.norm2.running_var	(256,)
backbone.backbone.model.levels.1.blocks.0.norm2.num_batches_tracked	()
backbone.backbone.model.levels.1.blocks.1.conv1.weight	(256, 256, 3, 3)
backbone.backbone.model.levels.1.blocks.1.conv1.bias	(256,)
backbone.backbone.model.levels.1.blocks.1.norm1.weight	(256,)
backbone.backbone.model.levels.1.blocks.1.norm1.bias	(256,)
backbone.backbone.model.levels.1.blocks.1.norm1.running_mean	(256,)
backbone.backbone.model.levels.1.blocks.1.norm1.running_var	(256,)
backbone.backbone.model.levels.1.blocks.1.norm1.num_batches_tracked	()
backbone.backbone.model.levels.1.blocks.1.conv2.weight	(256, 256, 3, 3)
backbone.backbone.model.levels.1.blocks.1.conv2.bias	(256,)
backbone.backbone.model.levels.1.blocks.1.norm2.weight	(256,)
backbone.backbone.model.levels.1.blocks.1.norm2.bias	(256,)
backbone.backbone.model.levels.1.blocks.1.norm2.running_mean	(256,)
backbone.backbone.model.levels.1.blocks.1.norm2.running_var	(256,)
backbone.backbone.model.levels.1.blocks.1.norm2.num_batches_tracked	()
backbone.backbone.model.levels.1.blocks.2.conv1.weight	(256, 256, 3, 3)
backbone.backbone.model.levels.1.blocks.2.conv1.bias	(256,)
backbone.backbone.model.levels.1.blocks.2.norm1.weight	(256,)
backbone.backbone.model.levels.1.blocks.2.norm1.bias	(256,)
backbone.backbone.model.levels.1.blocks.2.norm1.running_mean	(256,)
backbone.backbone.model.levels.1.blocks.2.norm1.running_var	(256,)
backbone.backbone.model.levels.1.blocks.2.norm1.num_batches_tracked	()
backbone.backbone.model.levels.1.blocks.2.conv2.weight	(256, 256, 3, 3)
backbone.backbone.model.levels.1.blocks.2.conv2.bias	(256,)
backbone.backbone.model.levels.1.blocks.2.norm2.weight	(256,)
backbone.backbone.model.levels.1.blocks.2.norm2.bias	(256,)
backbone.backbone.model.levels.1.blocks.2.norm2.running_mean	(256,)
backbone.backbone.model.levels.1.blocks.2.norm2.running_var	(256,)
backbone.backbone.model.levels.1.blocks.2.norm2.num_batches_tracked	()
backbone.backbone.model.levels.1.downsample.reduction.0.weight	(512, 256, 3, 3)
backbone.backbone.model.levels.2.blocks.0.g_1	(512,)
backbone.backbone.model.levels.2.blocks.0.g_2	(512,)
backbone.backbone.model.levels.2.blocks.0.norm1.weight	(512,)
backbone.backbone.model.levels.2.blocks.0.norm1.bias	(512,)
backbone.backbone.model.levels.2.blocks.0.mixer.A_log	(256, 8)
backbone.backbone.model.levels.2.blocks.0.mixer.D	(256,)
backbone.backbone.model.levels.2.blocks.0.mixer.in_proj.weight	(512, 512)
backbone.backbone.model.levels.2.blocks.0.mixer.x_proj.weight	(48, 256)
backbone.backbone.model.levels.2.blocks.0.mixer.dt_proj.weight	(256, 32)
backbone.backbone.model.levels.2.blocks.0.mixer.dt_proj.bias	(256,)
backbone.backbone.model.levels.2.blocks.0.mixer.out_proj.weight	(512, 512)
backbone.backbone.model.levels.2.blocks.0.mixer.conv1d_x.weight	(256, 1, 3)
backbone.backbone.model.levels.2.blocks.0.mixer.conv1d_z.weight	(256, 1, 3)
backbone.backbone.model.levels.2.blocks.0.norm2.weight	(512,)
backbone.backbone.model.levels.2.blocks.0.norm2.bias	(512,)
backbone.backbone.model.levels.2.blocks.0.mlp.fc1.weight	(2048, 512)
backbone.backbone.model.levels.2.blocks.0.mlp.fc1.bias	(2048,)
backbone.backbone.model.levels.2.blocks.0.mlp.fc2.weight	(512, 2048)
backbone.backbone.model.levels.2.blocks.0.mlp.fc2.bias	(512,)
backbone.backbone.model.levels.2.blocks.1.g_1	(512,)
backbone.backbone.model.levels.2.blocks.1.g_2	(512,)
backbone.backbone.model.levels.2.blocks.1.norm1.weight	(512,)
backbone.backbone.model.levels.2.blocks.1.norm1.bias	(512,)
backbone.backbone.model.levels.2.blocks.1.mixer.A_log	(256, 8)
backbone.backbone.model.levels.2.blocks.1.mixer.D	(256,)
backbone.backbone.model.levels.2.blocks.1.mixer.in_proj.weight	(512, 512)
backbone.backbone.model.levels.2.blocks.1.mixer.x_proj.weight	(48, 256)
backbone.backbone.model.levels.2.blocks.1.mixer.dt_proj.weight	(256, 32)
backbone.backbone.model.levels.2.blocks.1.mixer.dt_proj.bias	(256,)
backbone.backbone.model.levels.2.blocks.1.mixer.out_proj.weight	(512, 512)
backbone.backbone.model.levels.2.blocks.1.mixer.conv1d_x.weight	(256, 1, 3)
backbone.backbone.model.levels.2.blocks.1.mixer.conv1d_z.weight	(256, 1, 3)
backbone.backbone.model.levels.2.blocks.1.norm2.weight	(512,)
backbone.backbone.model.levels.2.blocks.1.norm2.bias	(512,)
backbone.backbone.model.levels.2.blocks.1.mlp.fc1.weight	(2048, 512)
backbone.backbone.model.levels.2.blocks.1.mlp.fc1.bias	(2048,)
backbone.backbone.model.levels.2.blocks.1.mlp.fc2.weight	(512, 2048)
backbone.backbone.model.levels.2.blocks.1.mlp.fc2.bias	(512,)
backbone.backbone.model.levels.2.blocks.2.g_1	(512,)
backbone.backbone.model.levels.2.blocks.2.g_2	(512,)
backbone.backbone.model.levels.2.blocks.2.norm1.weight	(512,)
backbone.backbone.model.levels.2.blocks.2.norm1.bias	(512,)
backbone.backbone.model.levels.2.blocks.2.mixer.A_log	(256, 8)
backbone.backbone.model.levels.2.blocks.2.mixer.D	(256,)
backbone.backbone.model.levels.2.blocks.2.mixer.in_proj.weight	(512, 512)
backbone.backbone.model.levels.2.blocks.2.mixer.x_proj.weight	(48, 256)
backbone.backbone.model.levels.2.blocks.2.mixer.dt_proj.weight	(256, 32)
backbone.backbone.model.levels.2.blocks.2.mixer.dt_proj.bias	(256,)
backbone.backbone.model.levels.2.blocks.2.mixer.out_proj.weight	(512, 512)
backbone.backbone.model.levels.2.blocks.2.mixer.conv1d_x.weight	(256, 1, 3)
backbone.backbone.model.levels.2.blocks.2.mixer.conv1d_z.weight	(256, 1, 3)
