backbone.downsample_layers.0.0.weight	(96, 3, 4, 4)
backbone.downsample_layers.0.0.bias	(96,)
backbone.downsample_layers.0.1.weight	(96,)
backbone.downsample_layers.0.1.bias	(96,)
backbone.downsample_layers.1.0.weight	(96,)
backbone.downsample_layers.1.0.bias	(96,)
backbone.downsample_layers.1.1.weight	(192, 96, 2, 2)
backbone.downsample_layers.1.1.bias	(192,)
backbone.downsample_layers.2.0.weight	(192,)
backbone.downsample_layers.2.0.bias	(192,)
backbone.downsample_layers.2.1.weight	(384, 192, 2, 2)
backbone.downsample_layers.2.1.bias	(384,)
backbone.downsample_layers.3.0.weight	(384,)
backbone.downsample_layers.3.0.bias	(384,)
backbone.downsample_layers.3.1.weight	(768, 384, 2, 2)
backbone.downsample_layers.3.1.bias	(768,)
backbone.stages.0.0.gamma	(96,)
backbone.stages.0.0.depthwise_conv.weight	(96, 1, 7, 7)
backbone.stages.0.0.depthwise_conv.bias	(96,)
backbone.stages.0.0.norm.weight	(96,)
backbone.stages.0.0.norm.bias	(96,)
backbone.stages.0.0.pointwise_conv1.weight	(384, 96)
backbone.stages.0.0.pointwise_conv1.bias	(384,)
backbone.stages.0.0.pointwise_conv2.weight	(96, 384)
backbone.stages.0.0.pointwise_conv2.bias	(96,)
backbone.stages.0.1.gamma	(96,)
backbone.stages.0.1.depthwise_conv.weight	(96, 1, 7, 7)
backbone.stages.0.1.depthwise_conv.bias	(96,)
backbone.stages.0.1.norm.weight	(96,)
backbone.stages.0.1.norm.bias	(96,)
backbone.stages.0.1.pointwise_conv1.weight	(384, 96)
backbone.stages.0.1.pointwise_conv1.bias	(384,)
backbone.stages.0.1.pointwise_conv2.weight	(96, 384)
backbone.stages.0.1.pointwise_conv2.bias	(96,)
backbone.stages.0.2.gamma	(96,)
backbone.stages.0.2.depthwise_conv.weight	(96, 1, 7, 7)
backbone.stages.0.2.depthwise_conv.bias	(96,)
backbone.stages.0.2.norm.weight	(96,)
backbone.stages.0.2.norm.bias	(96,)
backbone.stages.0.2.pointwise_conv1.weight	(384, 96)
backbone.stages.0.2.pointwise_conv1.bias	(384,)
backbone.stages.0.2.pointwise_conv2.weight	(96, 384)
backbone.stages.0.2.pointwise_conv2.bias	(96,)
backbone.stages.1.0.gamma	(192,)
backbone.stages.1.0.depthwise_conv.weight	(192, 1, 7, 7)
backbone.stages.1.0.depthwise_conv.bias	(192,)
backbone.stages.1.0.norm.weight	(192,)
backbone.stages.1.0.norm.bias	(192,)
backbone.stages.1.0.pointwise_conv1.weight	(768, 192)
backbone.stages.1.0.pointwise_conv1.bias	(768,)
backbone.stages.1.0.pointwise_conv2.weight	(192, 768)
backbone.stages.1.0.pointwise_conv2.bias	(192,)
backbone.stages.1.1.gamma	(192,)
backbone.stages.1.1.depthwise_conv.weight	(192, 1, 7, 7)
backbone.stages.1.1.depthwise_conv.bias	(192,)
backbone.stages.1.1.norm.weight	(192,)
backbone.stages.1.1.norm.bias	(192,)
backbone.stages.1.1.pointwise_conv1.weight	(768, 192)
backbone.stages.1.1.pointwise_conv1.bias	(768,)
backbone.stages.1.1.pointwise_conv2.weight	(192, 768)
backbone.stages.1.1.pointwise_conv2.bias	(192,)
backbone.stages.1.2.gamma	(192,)
backbone.stages.1.2.depthwise_conv.weight	(192, 1, 7, 7)
backbone.stages.1.2.depthwise_conv.bias	(192,)
backbone.stages.1.2.norm.weight	(192,)
backbone.stages.1.2.norm.bias	(192,)
backbone.stages.1.2.pointwise_conv1.weight	(768, 192)
backbone.stages.1.2.pointwise_conv1.bias	(768,)
backbone.stages.1.2.pointwise_conv2.weight	(192, 768)
backbone.stages.1.2.pointwise_conv2.bias	(192,)
backbone.stages.2.0.gamma	(384,)
backbone.stages.2.0.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.0.depthwise_conv.bias	(384,)
backbone.stages.2.0.norm.weight	(384,)
backbone.stages.2.0.norm.bias	(384,)
backbone.stages.2.0.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.0.pointwise_conv1.bias	(1536,)
backbone.stages.2.0.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.0.pointwise_conv2.bias	(384,)
backbone.stages.2.1.gamma	(384,)
backbone.stages.2.1.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.1.depthwise_conv.bias	(384,)
backbone.stages.2.1.norm.weight	(384,)
backbone.stages.2.1.norm.bias	(384,)
backbone.stages.2.1.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.1.pointwise_conv1.bias	(1536,)
backbone.stages.2.1.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.1.pointwise_conv2.bias	(384,)
backbone.stages.2.2.gamma	(384,)
backbone.stages.2.2.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.2.depthwise_conv.bias	(384,)
backbone.stages.2.2.norm.weight	(384,)
backbone.stages.2.2.norm.bias	(384,)
backbone.stages.2.2.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.2.pointwise_conv1.bias	(1536,)
backbone.stages.2.2.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.2.pointwise_conv2.bias	(384,)
backbone.stages.2.3.gamma	(384,)
backbone.stages.2.3.depthwise_conv.weight	(384, 1, 7, 7)
