backbone.layers.0.conv.weight	(40, 3, 3, 3)
backbone.layers.0.bn.weight	(40,)
backbone.layers.0.bn.bias	(40,)
backbone.layers.0.bn.running_mean	(40,)
backbone.layers.0.bn.running_var	(40,)
backbone.layers.0.bn.num_batches_tracked	()
backbone.layers.1.0.depthwise_conv.conv.weight	(40, 1, 3, 3)
backbone.layers.1.0.depthwise_conv.bn.weight	(40,)
backbone.layers.1.0.depthwise_conv.bn.bias	(40,)
backbone.layers.1.0.depthwise_conv.bn.running_mean	(40,)
backbone.layers.1.0.depthwise_conv.bn.running_var	(40,)
backbone.layers.1.0.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.1.0.se.conv1.conv.weight	(10, 40, 1, 1)
backbone.layers.1.0.se.conv1.conv.bias	(10,)
backbone.layers.1.0.se.conv2.conv.weight	(40, 10, 1, 1)
backbone.layers.1.0.se.conv2.conv.bias	(40,)
backbone.layers.1.0.linear_conv.conv.weight	(24, 40, 1, 1)
backbone.layers.1.0.linear_conv.bn.weight	(24,)
backbone.layers.1.0.linear_conv.bn.bias	(24,)
backbone.layers.1.0.linear_conv.bn.running_mean	(24,)
backbone.layers.1.0.linear_conv.bn.running_var	(24,)
backbone.layers.1.0.linear_conv.bn.num_batches_tracked	()
backbone.layers.1.1.depthwise_conv.conv.weight	(24, 1, 3, 3)
backbone.layers.1.1.depthwise_conv.bn.weight	(24,)
backbone.layers.1.1.depthwise_conv.bn.bias	(24,)
backbone.layers.1.1.depthwise_conv.bn.running_mean	(24,)
backbone.layers.1.1.depthwise_conv.bn.running_var	(24,)
backbone.layers.1.1.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.1.1.se.conv1.conv.weight	(6, 24, 1, 1)
backbone.layers.1.1.se.conv1.conv.bias	(6,)
backbone.layers.1.1.se.conv2.conv.weight	(24, 6, 1, 1)
backbone.layers.1.1.se.conv2.conv.bias	(24,)
backbone.layers.1.1.linear_conv.conv.weight	(24, 24, 1, 1)
backbone.layers.1.1.linear_conv.bn.weight	(24,)
backbone.layers.1.1.linear_conv.bn.bias	(24,)
backbone.layers.1.1.linear_conv.bn.running_mean	(24,)
backbone.layers.1.1.linear_conv.bn.running_var	(24,)
backbone.layers.1.1.linear_conv.bn.num_batches_tracked	()
backbone.layers.2.0.expand_conv.conv.weight	(144, 24, 1, 1)
backbone.layers.2.0.expand_conv.bn.weight	(144,)
backbone.layers.2.0.expand_conv.bn.bias	(144,)
backbone.layers.2.0.expand_conv.bn.running_mean	(144,)
backbone.layers.2.0.expand_conv.bn.running_var	(144,)
backbone.layers.2.0.expand_conv.bn.num_batches_tracked	()
backbone.layers.2.0.depthwise_conv.conv.weight	(144, 1, 3, 3)
