backbone.patch_embed.proj.weight	(64, 3, 7, 7)
backbone.patch_embed.proj.bias	(64,)
backbone.network.0.0.layer_scale_1	(64,)
backbone.network.0.0.layer_scale_2	(64,)
backbone.network.0.0.norm1.weight	(64,)
backbone.network.0.0.norm1.bias	(64,)
backbone.network.0.0.norm2.weight	(64,)
backbone.network.0.0.norm2.bias	(64,)
backbone.network.0.0.mlp.fc1.weight	(256, 64, 1, 1)
backbone.network.0.0.mlp.fc1.bias	(256,)
backbone.network.0.0.mlp.fc2.weight	(64, 256, 1, 1)
backbone.network.0.0.mlp.fc2.bias	(64,)
backbone.network.0.1.layer_scale_1	(64,)
backbone.network.0.1.layer_scale_2	(64,)
backbone.network.0.1.norm1.weight	(64,)
backbone.network.0.1.norm1.bias	(64,)
backbone.network.0.1.norm2.weight	(64,)
backbone.network.0.1.norm2.bias	(64,)
backbone.network.0.1.mlp.fc1.weight	(256, 64, 1, 1)
backbone.network.0.1.mlp.fc1.bias	(256,)
backbone.network.0.1.mlp.fc2.weight	(64, 256, 1, 1)
backbone.network.0.1.mlp.fc2.bias	(64,)
backbone.network.0.2.layer_scale_1	(64,)
backbone.network.0.2.layer_scale_2	(64,)
backbone.network.0.2.norm1.weight	(64,)
backbone.network.0.2.norm1.bias	(64,)
backbone.network.0.2.norm2.weight	(64,)
backbone.network.0.2.norm2.bias	(64,)
backbone.network.0.2.mlp.fc1.weight	(256, 64, 1, 1)
backbone.network.0.2.mlp.fc1.bias	(256,)
backbone.network.0.2.mlp.fc2.weight	(64, 256, 1, 1)
backbone.network.0.2.mlp.fc2.bias	(64,)
backbone.network.0.3.layer_scale_1	(64,)
backbone.network.0.3.layer_scale_2	(64,)
backbone.network.0.3.norm1.weight	(64,)
backbone.network.0.3.norm1.bias	(64,)
backbone.network.0.3.norm2.weight	(64,)
backbone.network.0.3.norm2.bias	(64,)
backbone.network.0.3.mlp.fc1.weight	(256, 64, 1, 1)
backbone.network.0.3.mlp.fc1.bias	(256,)
backbone.network.0.3.mlp.fc2.weight	(64, 256, 1, 1)
backbone.network.0.3.mlp.fc2.bias	(64,)
backbone.network.0.4.layer_scale_1	(64,)
backbone.network.0.4.layer_scale_2	(64,)
backbone.network.0.4.norm1.weight	(64,)
backbone.network.0.4.norm1.bias	(64,)
backbone.network.0.4.norm2.weight	(64,)
backbone.network.0.4.norm2.bias	(64,)
backbone.network.0.4.mlp.fc1.weight	(256, 64, 1, 1)
backbone.network.0.4.mlp.fc1.bias	(256,)
backbone.network.0.4.mlp.fc2.weight	(64, 256, 1, 1)
backbone.network.0.4.mlp.fc2.bias	(64,)
backbone.network.0.5.layer_scale_1	(64,)
