backbone.backbone.features_conv1_1.conv.weight	(96, 3, 7, 7)
backbone.backbone.features_conv1_1.bn.weight	(96,)
backbone.backbone.features_conv1_1.bn.bias	(96,)
backbone.backbone.features_conv1_1.bn.running_mean	(96,)
backbone.backbone.features_conv1_1.bn.running_var	(96,)
backbone.backbone.features_conv1_1.bn.num_batches_tracked	()
backbone.backbone.features_conv2_1.c1x1_w_s1.bn.weight	(96,)
backbone.backbone.features_conv2_1.c1x1_w_s1.bn.bias	(96,)
backbone.backbone.features_conv2_1.c1x1_w_s1.bn.running_mean	(96,)
backbone.backbone.features_conv2_1.c1x1_w_s1.bn.running_var	(96,)
backbone.backbone.features_conv2_1.c1x1_w_s1.bn.num_batches_tracked	()
backbone.backbone.features_conv2_1.c1x1_w_s1.conv.weight	(288, 96, 1, 1)
backbone.backbone.features_conv2_1.c1x1_a.bn.weight	(96,)
backbone.backbone.features_conv2_1.c1x1_a.bn.bias	(96,)
backbone.backbone.features_conv2_1.c1x1_a.bn.running_mean	(96,)
backbone.backbone.features_conv2_1.c1x1_a.bn.running_var	(96,)
backbone.backbone.features_conv2_1.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv2_1.c1x1_a.conv.weight	(160, 96, 1, 1)
backbone.backbone.features_conv2_1.c3x3_b.bn.weight	(160,)
backbone.backbone.features_conv2_1.c3x3_b.bn.bias	(160,)
backbone.backbone.features_conv2_1.c3x3_b.bn.running_mean	(160,)
backbone.backbone.features_conv2_1.c3x3_b.bn.running_var	(160,)
backbone.backbone.features_conv2_1.c3x3_b.bn.num_batches_tracked	()
backbone.backbone.features_conv2_1.c3x3_b.conv.weight	(160, 4, 3, 3)
backbone.backbone.features_conv2_1.c1x1_c.bn.weight	(160,)
backbone.backbone.features_conv2_1.c1x1_c.bn.bias	(160,)
backbone.backbone.features_conv2_1.c1x1_c.bn.running_mean	(160,)
backbone.backbone.features_conv2_1.c1x1_c.bn.running_var	(160,)
backbone.backbone.features_conv2_1.c1x1_c.bn.num_batches_tracked	()
backbone.backbone.features_conv2_1.c1x1_c.conv.weight	(272, 160, 1, 1)
backbone.backbone.features_conv2_2.c1x1_a.bn.weight	(304,)
backbone.backbone.features_conv2_2.c1x1_a.bn.bias	(304,)
backbone.backbone.features_conv2_2.c1x1_a.bn.running_mean	(304,)
backbone.backbone.features_conv2_2.c1x1_a.bn.running_var	(304,)
backbone.backbone.features_conv2_2.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv2_2.c1x1_a.conv.weight	(160, 304, 1, 1)
backbone.backbone.features_conv2_2.c3x3_b.bn.weight	(160,)
backbone.backbone.features_conv2_2.c3x3_b.bn.bias	(160,)
backbone.backbone.features_conv2_2.c3x3_b.bn.running_mean	(160,)
backbone.backbone.features_conv2_2.c3x3_b.bn.running_var	(160,)
