backbone.conv1.weight	(64, 3, 7, 7)
backbone.bn1.weight	(64,)
backbone.bn1.bias	(64,)
backbone.bn1.running_mean	(64,)
backbone.bn1.running_var	(64,)
backbone.bn1.num_batches_tracked	()
backbone.layer1.0.conv1.weight	(64, 64, 1, 1)
backbone.layer1.0.bn1.weight	(64,)
backbone.layer1.0.bn1.bias	(64,)
backbone.layer1.0.bn1.running_mean	(64,)
backbone.layer1.0.bn1.running_var	(64,)
backbone.layer1.0.bn1.num_batches_tracked	()
backbone.layer1.0.conv2.weight	(64, 64, 3, 3)
backbone.layer1.0.bn2.weight	(64,)
backbone.layer1.0.bn2.bias	(64,)
backbone.layer1.0.bn2.running_mean	(64,)
backbone.layer1.0.bn2.running_var	(64,)
backbone.layer1.0.bn2.num_batches_tracked	()
backbone.layer1.0.conv3.weight	(256, 64, 1, 1)
backbone.layer1.0.bn3.weight	(256,)
backbone.layer1.0.bn3.bias	(256,)
backbone.layer1.0.bn3.running_mean	(256,)
backbone.layer1.0.bn3.running_var	(256,)
backbone.layer1.0.bn3.num_batches_tracked	()
backbone.layer1.0.downsample.0.weight	(256, 64, 1, 1)
backbone.layer1.0.downsample.1.weight	(256,)
backbone.layer1.0.downsample.1.bias	(256,)
backbone.layer1.0.downsample.1.running_mean	(256,)
backbone.layer1.0.downsample.1.running_var	(256,)
backbone.layer1.0.downsample.1.num_batches_tracked	()
backbone.layer1.1.conv1.weight	(64, 256, 1, 1)
backbone.layer1.1.bn1.weight	(64,)
backbone.layer1.1.bn1.bias	(64,)
backbone.layer1.1.bn1.running_mean	(64,)
backbone.layer1.1.bn1.running_var	(64,)
backbone.layer1.1.bn1.num_batches_tracked	()
backbone.layer1.1.conv2.weight	(64, 64, 3, 3)
backbone.layer1.1.bn2.weight	(64,)
backbone.layer1.1.bn2.bias	(64,)
backbone.layer1.1.bn2.running_mean	(64,)
backbone.layer1.1.bn2.running_var	(64,)
backbone.layer1.1.bn2.num_batches_tracked	()
backbone.layer1.1.conv3.weight	(256, 64, 1, 1)
backbone.layer1.1.bn3.weight	(256,)
backbone.layer1.1.bn3.bias	(256,)
backbone.layer1.1.bn3.running_mean	(256,)
backbone.layer1.1.bn3.running_var	(256,)
backbone.layer1.1.bn3.num_batches_tracked	()
backbone.layer1.2.conv1.weight	(64, 256, 1, 1)
backbone.layer1.2.bn1.weight	(64,)
backbone.layer1.2.bn1.bias	(64,)
backbone.layer1.2.bn1.running_mean	(64,)
backbone.layer1.2.bn1.running_var	(64,)
backbone.layer1.2.bn1.num_batches_tracked	()
backbone.layer1.2.conv2.weight	(64, 64, 3, 3)
backbone.layer1.2.bn2.weight	(64,)
backbone.layer1.2.bn2.bias	(64,)
backbone.layer1.2.bn2.running_mean	(64,)
backbone.layer1.2.bn2.running_var	(64,)
backbone.layer1.2.bn2.num_batches_tracked	()
backbone.layer1.2.conv3.weight	(256, 64, 1, 1)
backbone.layer1.2.bn3.weight	(256,)
backbone.layer1.2.bn3.bias	(256,)
backbone.layer1.2.bn3.running_mean	(256,)
backbone.layer1.2.bn3.running_var	(256,)
backbone.layer1.2.bn3.num_batches_tracked	()
backbone.layer2.0.conv1.weight	(128, 256, 1, 1)
backbone.layer2.0.bn1.weight	(128,)
backbone.layer2.0.bn1.bias	(128,)
backbone.layer2.0.bn1.running_mean	(128,)
backbone.layer2.0.bn1.running_var	(128,)
backbone.layer2.0.bn1.num_batches_tracked	()
backbone.layer2.0.conv2.weight	(128, 128, 3, 3)
backbone.layer2.0.bn2.weight	(128,)
backbone.layer2.0.bn2.bias	(128,)
backbone.layer2.0.bn2.running_mean	(128,)
backbone.layer2.0.bn2.running_var	(128,)
backbone.layer2.0.bn2.num_batches_tracked	()
backbone.layer2.0.conv3.weight	(512, 128, 1, 1)
backbone.layer2.0.bn3.weight	(512,)
backbone.layer2.0.bn3.bias	(512,)
backbone.layer2.0.bn3.running_mean	(512,)
backbone.layer2.0.bn3.running_var	(512,)
backbone.layer2.0.bn3.num_batches_tracked	()
backbone.layer2.0.downsample.0.weight	(512, 256, 1, 1)
backbone.layer2.0.downsample.1.weight	(512,)
backbone.layer2.0.downsample.1.bias	(512,)
backbone.layer2.0.downsample.1.running_mean	(512,)
backbone.layer2.0.downsample.1.running_var	(512,)
backbone.layer2.0.downsample.1.num_batches_tracked	()
backbone.layer2.1.conv1.weight	(128, 512, 1, 1)
backbone.layer2.1.bn1.weight	(128,)
backbone.layer2.1.bn1.bias	(128,)
backbone.layer2.1.bn1.running_mean	(128,)
backbone.layer2.1.bn1.running_var	(128,)
backbone.layer2.1.bn1.num_batches_tracked	()
backbone.layer2.1.conv2.weight	(128, 128, 3, 3)
backbone.layer2.1.bn2.weight	(128,)
backbone.layer2.1.bn2.bias	(128,)
backbone.layer2.1.bn2.running_mean	(128,)
backbone.layer2.1.bn2.running_var	(128,)
backbone.layer2.1.bn2.num_batches_tracked	()
backbone.layer2.1.conv3.weight	(512, 128, 1, 1)
backbone.layer2.1.bn3.weight	(512,)
backbone.layer2.1.bn3.bias	(512,)
backbone.layer2.1.bn3.running_mean	(512,)
backbone.layer2.1.bn3.running_var	(512,)
backbone.layer2.1.bn3.num_batches_tracked	()
backbone.layer2.2.conv1.weight	(128, 512, 1, 1)
backbone.layer2.2.bn1.weight	(128,)
backbone.layer2.2.bn1.bias	(128,)
backbone.layer2.2.bn1.running_mean	(128,)
backbone.layer2.2.bn1.running_var	(128,)
backbone.layer2.2.bn1.num_batches_tracked	()
backbone.layer2.2.conv2.weight	(128, 128, 3, 3)
backbone.layer2.2.bn2.weight	(128,)
backbone.layer2.2.bn2.bias	(128,)
backbone.layer2.2.bn2.running_mean	(128,)
backbone.layer2.2.bn2.running_var	(128,)
backbone.layer2.2.bn2.num_batches_tracked	()
backbone.layer2.2.conv3.weight	(512, 128, 1, 1)
backbone.layer2.2.bn3.weight	(512,)
backbone.layer2.2.bn3.bias	(512,)
backbone.layer2.2.bn3.running_mean	(512,)
backbone.layer2.2.bn3.running_var	(512,)
backbone.layer2.2.bn3.num_batches_tracked	()
backbone.layer2.3.conv1.weight	(128, 512, 1, 1)
backbone.layer2.3.bn1.weight	(128,)
backbone.layer2.3.bn1.bias	(128,)
backbone.layer2.3.bn1.running_mean	(128,)
backbone.layer2.3.bn1.running_var	(128,)
backbone.layer2.3.bn1.num_batches_tracked	()
backbone.layer2.3.conv2.weight	(128, 128, 3, 3)
backbone.layer2.3.bn2.weight	(128,)
backbone.layer2.3.bn2.bias	(128,)
backbone.layer2.3.bn2.running_mean	(128,)
backbone.layer2.3.bn2.running_var	(128,)
backbone.layer2.3.bn2.num_batches_tracked	()
backbone.layer2.3.conv3.weight	(512, 128, 1, 1)
backbone.layer2.3.bn3.weight	(512,)
backbone.layer2.3.bn3.bias	(512,)
backbone.layer2.3.bn3.running_mean	(512,)
backbone.layer2.3.bn3.running_var	(512,)
backbone.layer2.3.bn3.num_batches_tracked	()
backbone.layer3.0.conv1.weight	(256, 512, 1, 1)
backbone.layer3.0.bn1.weight	(256,)
backbone.layer3.0.bn1.bias	(256,)
backbone.layer3.0.bn1.running_mean	(256,)
backbone.layer3.0.bn1.running_var	(256,)
backbone.layer3.0.bn1.num_batches_tracked	()
backbone.layer3.0.conv2.weight	(256, 256, 3, 3)
backbone.layer3.0.bn2.weight	(256,)
backbone.layer3.0.bn2.bias	(256,)
backbone.layer3.0.bn2.running_mean	(256,)
backbone.layer3.0.bn2.running_var	(256,)
backbone.layer3.0.bn2.num_batches_tracked	()
backbone.layer3.0.conv3.weight	(1024, 256, 1, 1)
backbone.layer3.0.bn3.weight	(1024,)
backbone.layer3.0.bn3.bias	(1024,)
backbone.layer3.0.bn3.running_mean	(1024,)
backbone.layer3.0.bn3.running_var	(1024,)
backbone.layer3.0.bn3.num_batches_tracked	()
backbone.layer3.0.downsample.0.weight	(1024, 512, 1, 1)
backbone.layer3.0.downsample.1.weight	(1024,)
backbone.layer3.0.downsample.1.bias	(1024,)
backbone.layer3.0.downsample.1.running_mean	(1024,)
backbone.layer3.0.downsample.1.running_var	(1024,)
backbone.layer3.0.downsample.1.num_batches_tracked	()
backbone.layer3.1.conv1.weight	(256, 1024, 1, 1)
backbone.layer3.1.bn1.weight	(256,)
backbone.layer3.1.bn1.bias	(256,)
backbone.layer3.1.bn1.running_mean	(256,)
backbone.layer3.1.bn1.running_var	(256,)
backbone.layer3.1.bn1.num_batches_tracked	()
backbone.layer3.1.conv2.weight	(256, 256, 3, 3)
backbone.layer3.1.bn2.weight	(256,)
backbone.layer3.1.bn2.bias	(256,)
backbone.layer3.1.bn2.running_mean	(256,)
backbone.layer3.1.bn2.running_var	(256,)
backbone.layer3.1.bn2.num_batches_tracked	()
backbone.layer3.1.conv3.weight	(1024, 256, 1, 1)
backbone.layer3.1.bn3.weight	(1024,)
backbone.layer3.1.bn3.bias	(1024,)
backbone.layer3.1.bn3.running_mean	(1024,)
backbone.layer3.1.bn3.running_var	(1024,)
backbone.layer3.1.bn3.num_batches_tracked	()
backbone.layer3.2.conv1.weight	(256, 1024, 1, 1)
backbone.layer3.2.bn1.weight	(256,)
backbone.layer3.2.bn1.bias	(256,)
backbone.layer3.2.bn1.running_mean	(256,)
backbone.layer3.2.bn1.running_var	(256,)
backbone.layer3.2.bn1.num_batches_tracked	()
backbone.layer3.2.conv2.weight	(256, 256, 3, 3)
backbone.layer3.2.bn2.weight	(256,)
backbone.layer3.2.bn2.bias	(256,)
backbone.layer3.2.bn2.running_mean	(256,)
backbone.layer3.2.bn2.running_var	(256,)
backbone.layer3.2.bn2.num_batches_tracked	()
backbone.layer3.2.conv3.weight	(1024, 256, 1, 1)
backbone.layer3.2.bn3.weight	(1024,)
backbone.layer3.2.bn3.bias	(1024,)
backbone.layer3.2.bn3.running_mean	(1024,)
backbone.layer3.2.bn3.running_var	(1024,)
backbone.layer3.2.bn3.num_batches_tracked	()
backbone.layer3.3.conv1.weight	(256, 1024, 1, 1)
backbone.layer3.3.bn1.weight	(256,)
backbone.layer3.3.bn1.bias	(256,)
backbone.layer3.3.bn1.running_mean	(256,)
backbone.layer3.3.bn1.running_var	(256,)
backbone.layer3.3.bn1.num_batches_tracked	()
backbone.layer3.3.conv2.weight	(256, 256, 3, 3)
backbone.layer3.3.bn2.weight	(256,)
backbone.layer3.3.bn2.bias	(256,)
backbone.layer3.3.bn2.running_mean	(256,)
backbone.layer3.3.bn2.running_var	(256,)
backbone.layer3.3.bn2.num_batches_tracked	()
backbone.layer3.3.conv3.weight	(1024, 256, 1, 1)
backbone.layer3.3.bn3.weight	(1024,)
backbone.layer3.3.bn3.bias	(1024,)
backbone.layer3.3.bn3.running_mean	(1024,)
backbone.layer3.3.bn3.running_var	(1024,)
backbone.layer3.3.bn3.num_batches_tracked	()
backbone.layer3.4.conv1.weight	(256, 1024, 1, 1)
backbone.layer3.4.bn1.weight	(256,)
backbone.layer3.4.bn1.bias	(256,)
backbone.layer3.4.bn1.running_mean	(256,)
backbone.layer3.4.bn1.running_var	(256,)
backbone.layer3.4.bn1.num_batches_tracked	()
backbone.layer3.4.conv2.weight	(256, 256, 3, 3)
backbone.layer3.4.bn2.weight	(256,)
backbone.layer3.4.bn2.bias	(256,)
backbone.layer3.4.bn2.running_mean	(256,)
backbone.layer3.4.bn2.running_var	(256,)
backbone.layer3.4.bn2.num_batches_tracked	()
backbone.layer3.4.conv3.weight	(1024, 256, 1, 1)
backbone.layer3.4.bn3.weight	(1024,)
backbone.layer3.4.bn3.bias	(1024,)
backbone.layer3.4.bn3.running_mean	(1024,)
backbone.layer3.4.bn3.running_var	(1024,)
backbone.layer3.4.bn3.num_batches_tracked	()
backbone.layer3.5.conv1.weight	(256, 1024, 1, 1)
backbone.layer3.5.bn1.weight	(256,)
backbone.layer3.5.bn1.bias	(256,)
backbone.layer3.5.bn1.running_mean	(256,)
backbone.layer3.5.bn1.running_var	(256,)
backbone.layer3.5.bn1.num_batches_tracked	()
backbone.layer3.5.conv2.weight	(256, 256, 3, 3)
backbone.layer3.5.bn2.weight	(256,)
backbone.layer3.5.bn2.bias	(256,)
backbone.layer3.5.bn2.running_mean	(256,)
backbone.layer3.5.bn2.running_var	(256,)
backbone.layer3.5.bn2.num_batches_tracked	()
backbone.layer3.5.conv3.weight	(1024, 256, 1, 1)
backbone.layer3.5.bn3.weight	(1024,)
backbone.layer3.5.bn3.bias	(1024,)
backbone.layer3.5.bn3.running_mean	(1024,)
backbone.layer3.5.bn3.running_var	(1024,)
backbone.layer3.5.bn3.num_batches_tracked	()
backbone.layer4.0.conv1.weight	(512, 1024, 1, 1)
backbone.layer4.0.bn1.weight	(512,)
backbone.layer4.0.bn1.bias	(512,)
backbone.layer4.0.bn1.running_mean	(512,)
backbone.layer4.0.bn1.running_var	(512,)
backbone.layer4.0.bn1.num_batches_tracked	()
backbone.layer4.0.conv2.weight	(512, 512, 3, 3)
backbone.layer4.0.bn2.weight	(512,)
backbone.layer4.0.bn2.bias	(512,)
backbone.layer4.0.bn2.running_mean	(512,)
backbone.layer4.0.bn2.running_var	(512,)
backbone.layer4.0.bn2.num_batches_tracked	()
backbone.layer4.0.conv3.weight	(2048, 512, 1, 1)
backbone.layer4.0.bn3.weight	(2048,)
