backbone.patch_embed.projection.weight	(96, 3, 4, 4)
backbone.patch_embed.projection.bias	(96,)
backbone.patch_embed.norm.weight	(96,)
backbone.patch_embed.norm.bias	(96,)
backbone.stages.0.blocks.0.norm1.weight	(96,)
backbone.stages.0.blocks.0.norm1.bias	(96,)
backbone.stages.0.blocks.0.attn.w_msa.relative_position_bias_table	(169, 3)
backbone.stages.0.blocks.0.attn.w_msa.relative_position_index	(49, 49)
backbone.stages.0.blocks.0.attn.w_msa.qkv.weight	(288, 96)
backbone.stages.0.blocks.0.attn.w_msa.qkv.bias	(288,)
backbone.stages.0.blocks.0.attn.w_msa.proj.weight	(96, 96)
backbone.stages.0.blocks.0.attn.w_msa.proj.bias	(96,)
backbone.stages.0.blocks.0.norm2.weight	(96,)
backbone.stages.0.blocks.0.norm2.bias	(96,)
backbone.stages.0.blocks.0.ffn.layers.0.0.weight	(384, 96)
backbone.stages.0.blocks.0.ffn.layers.0.0.bias	(384,)
backbone.stages.0.blocks.0.ffn.layers.1.weight	(96, 384)
backbone.stages.0.blocks.0.ffn.layers.1.bias	(96,)
backbone.stages.0.blocks.1.norm1.weight	(96,)
backbone.stages.0.blocks.1.norm1.bias	(96,)
backbone.stages.0.blocks.1.attn.w_msa.relative_position_bias_table	(169, 3)
backbone.stages.0.blocks.1.attn.w_msa.relative_position_index	(49, 49)
backbone.stages.0.blocks.1.attn.w_msa.qkv.weight	(288, 96)
backbone.stages.0.blocks.1.attn.w_msa.qkv.bias	(288,)
backbone.stages.0.blocks.1.attn.w_msa.proj.weight	(96, 96)
backbone.stages.0.blocks.1.attn.w_msa.proj.bias	(96,)
backbone.stages.0.blocks.1.norm2.weight	(96,)
backbone.stages.0.blocks.1.norm2.bias	(96,)
backbone.stages.0.blocks.1.ffn.layers.0.0.weight	(384, 96)
backbone.stages.0.blocks.1.ffn.layers.0.0.bias	(384,)
backbone.stages.0.blocks.1.ffn.layers.1.weight	(96, 384)
backbone.stages.0.blocks.1.ffn.layers.1.bias	(96,)
backbone.stages.0.downsample.norm.weight	(384,)
backbone.stages.0.downsample.norm.bias	(384,)
backbone.stages.0.downsample.reduction.weight	(192, 384)
backbone.stages.1.blocks.0.norm1.weight	(192,)
backbone.stages.1.blocks.0.norm1.bias	(192,)
backbone.stages.1.blocks.0.attn.w_msa.relative_position_bias_table	(169, 6)
backbone.stages.1.blocks.0.attn.w_msa.relative_position_index	(49, 49)
backbone.stages.1.blocks.0.attn.w_msa.qkv.weight	(576, 192)
backbone.stages.1.blocks.0.attn.w_msa.qkv.bias	(576,)
backbone.stages.1.blocks.0.attn.w_msa.proj.weight	(192, 192)
backbone.stages.1.blocks.0.attn.w_msa.proj.bias	(192,)
backbone.stages.1.blocks.0.norm2.weight	(192,)
backbone.stages.1.blocks.0.norm2.bias	(192,)
backbone.stages.1.blocks.0.ffn.layers.0.0.weight	(768, 192)
backbone.stages.1.blocks.0.ffn.layers.0.0.bias	(768,)
backbone.stages.1.blocks.0.ffn.layers.1.weight	(192, 768)
backbone.stages.1.blocks.0.ffn.layers.1.bias	(192,)
backbone.stages.1.blocks.1.norm1.weight	(192,)
backbone.stages.1.blocks.1.norm1.bias	(192,)
backbone.stages.1.blocks.1.attn.w_msa.relative_position_bias_table	(169, 6)
backbone.stages.1.blocks.1.attn.w_msa.relative_position_index	(49, 49)
backbone.stages.1.blocks.1.attn.w_msa.qkv.weight	(576, 192)
backbone.stages.1.blocks.1.attn.w_msa.qkv.bias	(576,)
backbone.stages.1.blocks.1.attn.w_msa.proj.weight	(192, 192)
backbone.stages.1.blocks.1.attn.w_msa.proj.bias	(192,)
backbone.stages.1.blocks.1.norm2.weight	(192,)
backbone.stages.1.blocks.1.norm2.bias	(192,)
backbone.stages.1.blocks.1.ffn.layers.0.0.weight	(768, 192)
backbone.stages.1.blocks.1.ffn.layers.0.0.bias	(768,)
backbone.stages.1.blocks.1.ffn.layers.1.weight	(192, 768)
backbone.stages.1.blocks.1.ffn.layers.1.bias	(192,)
backbone.stages.1.downsample.norm.weight	(768,)
backbone.stages.1.downsample.norm.bias	(768,)
backbone.stages.1.downsample.reduction.weight	(384, 768)
backbone.stages.2.blocks.0.norm1.weight	(384,)
backbone.stages.2.blocks.0.norm1.bias	(384,)
backbone.stages.2.blocks.0.attn.w_msa.relative_position_bias_table	(169, 12)
backbone.stages.2.blocks.0.attn.w_msa.relative_position_index	(49, 49)
