backbone.patch_embed.0.rbr_conv.0.conv.weight	(76, 3, 3, 3)
backbone.patch_embed.0.rbr_conv.0.bn.weight	(76,)
backbone.patch_embed.0.rbr_conv.0.bn.bias	(76,)
backbone.patch_embed.0.rbr_conv.0.bn.running_mean	(76,)
backbone.patch_embed.0.rbr_conv.0.bn.running_var	(76,)
backbone.patch_embed.0.rbr_conv.0.bn.num_batches_tracked	()
backbone.patch_embed.0.rbr_scale.conv.weight	(76, 3, 1, 1)
backbone.patch_embed.0.rbr_scale.bn.weight	(76,)
backbone.patch_embed.0.rbr_scale.bn.bias	(76,)
backbone.patch_embed.0.rbr_scale.bn.running_mean	(76,)
backbone.patch_embed.0.rbr_scale.bn.running_var	(76,)
backbone.patch_embed.0.rbr_scale.bn.num_batches_tracked	()
backbone.patch_embed.1.rbr_conv.0.conv.weight	(76, 1, 3, 3)
backbone.patch_embed.1.rbr_conv.0.bn.weight	(76,)
backbone.patch_embed.1.rbr_conv.0.bn.bias	(76,)
backbone.patch_embed.1.rbr_conv.0.bn.running_mean	(76,)
backbone.patch_embed.1.rbr_conv.0.bn.running_var	(76,)
backbone.patch_embed.1.rbr_conv.0.bn.num_batches_tracked	()
backbone.patch_embed.1.rbr_scale.conv.weight	(76, 1, 1, 1)
backbone.patch_embed.1.rbr_scale.bn.weight	(76,)
backbone.patch_embed.1.rbr_scale.bn.bias	(76,)
backbone.patch_embed.1.rbr_scale.bn.running_mean	(76,)
backbone.patch_embed.1.rbr_scale.bn.running_var	(76,)
backbone.patch_embed.1.rbr_scale.bn.num_batches_tracked	()
backbone.patch_embed.2.rbr_skip.weight	(76,)
backbone.patch_embed.2.rbr_skip.bias	(76,)
backbone.patch_embed.2.rbr_skip.running_mean	(76,)
backbone.patch_embed.2.rbr_skip.running_var	(76,)
backbone.patch_embed.2.rbr_skip.num_batches_tracked	()
backbone.patch_embed.2.rbr_conv.0.conv.weight	(76, 76, 1, 1)
backbone.patch_embed.2.rbr_conv.0.bn.weight	(76,)
backbone.patch_embed.2.rbr_conv.0.bn.bias	(76,)
backbone.patch_embed.2.rbr_conv.0.bn.running_mean	(76,)
backbone.patch_embed.2.rbr_conv.0.bn.running_var	(76,)
backbone.patch_embed.2.rbr_conv.0.bn.num_batches_tracked	()
backbone.network.0.0.layer_scale	(76, 1, 1)
backbone.network.0.0.token_mixer.layer_scale	(76, 1, 1)
backbone.network.0.0.token_mixer.norm.rbr_skip.weight	(76,)
backbone.network.0.0.token_mixer.norm.rbr_skip.bias	(76,)
backbone.network.0.0.token_mixer.norm.rbr_skip.running_mean	(76,)
backbone.network.0.0.token_mixer.norm.rbr_skip.running_var	(76,)
backbone.network.0.0.token_mixer.norm.rbr_skip.num_batches_tracked	()
backbone.network.0.0.token_mixer.mixer.rbr_skip.weight	(76,)
backbone.network.0.0.token_mixer.mixer.rbr_skip.bias	(76,)
backbone.network.0.0.token_mixer.mixer.rbr_skip.running_mean	(76,)
backbone.network.0.0.token_mixer.mixer.rbr_skip.running_var	(76,)
backbone.network.0.0.token_mixer.mixer.rbr_skip.num_batches_tracked	()
backbone.network.0.0.token_mixer.mixer.rbr_conv.0.conv.weight	(76, 1, 3, 3)
backbone.network.0.0.token_mixer.mixer.rbr_conv.0.bn.weight	(76,)
backbone.network.0.0.token_mixer.mixer.rbr_conv.0.bn.bias	(76,)
backbone.network.0.0.token_mixer.mixer.rbr_conv.0.bn.running_mean	(76,)
backbone.network.0.0.token_mixer.mixer.rbr_conv.0.bn.running_var	(76,)
backbone.network.0.0.token_mixer.mixer.rbr_conv.0.bn.num_batches_tracked	()
backbone.network.0.0.token_mixer.mixer.rbr_scale.conv.weight	(76, 1, 1, 1)
backbone.network.0.0.token_mixer.mixer.rbr_scale.bn.weight	(76,)
backbone.network.0.0.token_mixer.mixer.rbr_scale.bn.bias	(76,)
backbone.network.0.0.token_mixer.mixer.rbr_scale.bn.running_mean	(76,)
backbone.network.0.0.token_mixer.mixer.rbr_scale.bn.running_var	(76,)
backbone.network.0.0.token_mixer.mixer.rbr_scale.bn.num_batches_tracked	()
backbone.network.0.0.convffn.conv.conv.weight	(76, 1, 7, 7)
backbone.network.0.0.convffn.conv.bn.weight	(76,)
backbone.network.0.0.convffn.conv.bn.bias	(76,)
